Date,Open,High,Low,Close,Adj Close,Volume
2017-11-02,21100.000000,21150.099609,20909.099609,20989.750000,19953.310547,6771
2017-11-03,21056.050781,21199.000000,20941.000000,21047.900391,20008.589844,7075
2017-11-06,20950.000000,21079.199219,20800.000000,20861.500000,19831.392578,12245
2017-11-07,20900.000000,20998.000000,20640.000000,20757.650391,19732.671875,15975
2017-11-08,20570.000000,20888.949219,20511.050781,20764.050781,19738.753906,11008
2017-11-09,20960.000000,21268.000000,20817.000000,21126.199219,20083.021484,7010
2017-11-10,20870.000000,21178.400391,20255.000000,20457.050781,19446.914063,45041
2017-11-13,20400.000000,20600.000000,19900.000000,19931.250000,18947.078125,24429
2017-11-14,19959.000000,19988.949219,19630.000000,19676.150391,18704.578125,15932
2017-11-15,19600.000000,19699.949219,19160.449219,19205.800781,18257.449219,13229
2017-11-16,19210.000000,19359.349609,19000.000000,19258.449219,18307.498047,14752
2017-11-17,19350.000000,19549.949219,18920.000000,18965.900391,18029.392578,29233
2017-11-20,19000.000000,19450.000000,18834.000000,19376.500000,18419.718750,25945
2017-11-21,19499.900391,19538.050781,19158.000000,19237.500000,18287.587891,17382
2017-11-22,19350.000000,19378.599609,18970.000000,19008.800781,18070.175781,16632
2017-11-23,19150.000000,19185.550781,18900.000000,18978.199219,18041.087891,12446
2017-11-24,18978.199219,19058.000000,18925.199219,18957.349609,18021.265625,12064
2017-11-27,18955.000000,19066.400391,18802.449219,18929.550781,17994.843750,17231
2017-11-28,18900.000000,19025.000000,18890.599609,18982.449219,18045.126953,10109
2017-11-29,19080.000000,20176.250000,18952.300781,20065.650391,19074.839844,77162
2017-11-30,20195.000000,20652.000000,19982.900391,20333.750000,19329.699219,81020
2017-12-01,20498.000000,21388.800781,19821.000000,19988.150391,19001.169922,43713
2017-12-04,20000.000000,20398.849609,19847.800781,20103.400391,19110.726563,24074
2017-12-05,20230.000000,20318.849609,19780.000000,19894.199219,18911.855469,51143
2017-12-06,19870.099609,19987.949219,19087.800781,19149.949219,18204.357422,28391
2017-12-07,19375.000000,19824.199219,19280.000000,19735.349609,18760.847656,52036
2017-12-08,19800.000000,19956.449219,19478.000000,19550.250000,18584.888672,22138
2017-12-11,19800.000000,20018.800781,19560.500000,19927.300781,18943.322266,21742
2017-12-12,19980.000000,20220.199219,19737.699219,19952.750000,18967.513672,22591
2017-12-13,19950.000000,20150.500000,19750.000000,19864.800781,18883.910156,19682
2017-12-14,19832.000000,19970.050781,19412.099609,19880.199219,18898.544922,19341
2017-12-15,20000.000000,20200.000000,19601.250000,19730.300781,18756.052734,27418
2017-12-18,19700.000000,20032.400391,19370.000000,19883.400391,18901.589844,13739
2017-12-19,19885.000000,20079.949219,19810.000000,19868.050781,18887.000000,11120
2017-12-20,19868.050781,20113.449219,19719.699219,19844.150391,18864.277344,20612
2017-12-21,19949.000000,20038.000000,19805.000000,19883.400391,18901.589844,9026
2017-12-22,19883.400391,19972.800781,19835.050781,19926.500000,18942.562500,10446
2017-12-26,19900.000000,20460.000000,19872.599609,20290.699219,19288.777344,26344
2017-12-27,20350.000000,20350.000000,19999.000000,20092.750000,19100.603516,10852
2017-12-28,20100.000000,20290.000000,20000.000000,20072.599609,19081.447266,23658
2017-12-29,20110.000000,20231.199219,19942.150391,20165.550781,19169.808594,14246
2018-01-01,20165.000000,20620.000000,19702.400391,19791.900391,18814.607422,20401
2018-01-02,19850.000000,19957.000000,19575.000000,19721.750000,18747.923828,14797
2018-01-03,19799.000000,19866.900391,19650.099609,19692.949219,18720.544922,12104
2018-01-04,19790.000000,19790.000000,19580.000000,19652.650391,18682.234375,16677
2018-01-05,19700.000000,19760.449219,19588.000000,19693.150391,18720.736328,15105
2018-01-08,19700.000000,20143.199219,19650.050781,19998.349609,19010.863281,19162
2018-01-09,19970.000000,19993.699219,19780.099609,19830.099609,18850.921875,13251
2018-01-10,19899.000000,19961.050781,19700.000000,19811.150391,18832.908203,18250
2018-01-11,19838.000000,20120.300781,19732.699219,19954.699219,18969.367188,12507
2018-01-12,19954.699219,20068.300781,19660.000000,19771.599609,18795.308594,19820
2018-01-15,19800.000000,19960.750000,19710.000000,19903.650391,18920.839844,8708
2018-01-16,19911.000000,20099.000000,19815.199219,19859.000000,18878.396484,12326
2018-01-17,19857.000000,20000.000000,19700.000000,19954.250000,18968.943359,10905
2018-01-18,19980.000000,20100.000000,19850.000000,19903.699219,18920.888672,9788
2018-01-19,19903.699219,20019.199219,19810.099609,19976.150391,18989.761719,15241
2018-01-22,19920.199219,20174.400391,19875.000000,19981.500000,18994.847656,6083
2018-01-23,20000.000000,20060.050781,19639.099609,19776.000000,18799.494141,14150
2018-01-24,19776.000000,19848.849609,19700.000000,19730.300781,18756.052734,8531
2018-01-25,19740.000000,19890.000000,19506.199219,19642.500000,18672.585938,14671
2018-01-29,19635.000000,19933.000000,19517.599609,19879.199219,18897.595703,12310
2018-01-30,19850.000000,19850.000000,19400.000000,19495.550781,18532.892578,8399
2018-01-31,19495.000000,19664.949219,19291.099609,19400.250000,18442.298828,34590
2018-02-01,19475.000000,19619.000000,19300.000000,19517.849609,18554.089844,14331
2018-02-02,19420.000000,19675.000000,19300.000000,19474.400391,18512.791016,22653
2018-02-05,19299.000000,20028.949219,19246.449219,19951.550781,18966.375000,61031
2018-02-06,19500.000000,19899.949219,19332.949219,19556.099609,18590.451172,31736
2018-02-07,19612.000000,19756.000000,19165.099609,19244.750000,18294.478516,23455
2018-02-08,19450.000000,19700.000000,19335.050781,19592.250000,18624.816406,19788
2018-02-09,19398.000000,19579.000000,19280.050781,19482.599609,18520.580078,19118
2018-02-12,19564.400391,19649.949219,19470.550781,19545.849609,18580.707031,5107
2018-02-14,19639.949219,19639.949219,19470.000000,19515.099609,18551.474609,6351
2018-02-15,19550.000000,19641.400391,19470.000000,19502.449219,18539.451172,6087
2018-02-16,19520.000000,19640.000000,19500.750000,19553.599609,18588.074219,5355
2018-02-19,19545.000000,19633.000000,19354.000000,19427.449219,18468.154297,6655
2018-02-20,19427.449219,19525.000000,19151.000000,19398.050781,18440.207031,8434
2018-02-21,19440.000000,19494.599609,19100.050781,19160.050781,18213.955078,13402
2018-02-22,19040.000000,19094.099609,18587.849609,18889.699219,17956.958984,38563
2018-02-23,18890.000000,19021.449219,18810.050781,18920.599609,17986.332031,11409
2018-02-26,18987.849609,19299.500000,18890.150391,19119.150391,18175.078125,11302
2018-02-27,19155.949219,19232.400391,18970.000000,19017.849609,18078.781250,6822
2018-02-28,18980.000000,18980.000000,18635.000000,18687.300781,17764.554688,16160
2018-03-01,18701.199219,18759.650391,18612.050781,18707.500000,17783.753906,13447
2018-03-05,18661.250000,18707.500000,18300.000000,18348.000000,17442.005859,13019
2018-03-06,18376.150391,18466.300781,18005.050781,18159.750000,17263.050781,27935
2018-03-07,18179.000000,18179.000000,17809.000000,17848.250000,16966.933594,13795
2018-03-08,17975.000000,18150.000000,17710.000000,18094.800781,17201.306641,15431
2018-03-09,18124.000000,18255.000000,18040.199219,18203.550781,17304.689453,7157
2018-03-12,18287.000000,18310.400391,18018.050781,18247.449219,17346.419922,8342
2018-03-13,18239.000000,18500.000000,18201.349609,18487.900391,17575.000000,8229
2018-03-14,18469.000000,18469.000000,18200.000000,18284.300781,17381.455078,7672
2018-03-15,18284.300781,18317.099609,18000.000000,18025.199219,17135.144531,36190
2018-03-16,18006.000000,18189.949219,17801.050781,17921.699219,17036.755859,49848
2018-03-19,17901.000000,18078.099609,17466.050781,17515.050781,16650.185547,15211
2018-03-20,17440.000000,18000.000000,17440.000000,17876.750000,16994.025391,15492
2018-03-21,17950.000000,17974.000000,17551.000000,17585.650391,16717.300781,13341
2018-03-22,17650.000000,17733.900391,17250.000000,17350.199219,16493.474609,15389
2018-03-23,17200.000000,17479.000000,16975.000000,17361.800781,16504.503906,21555
2018-03-26,17361.800781,17450.000000,17181.699219,17291.599609,16437.771484,20667
2018-03-27,17301.000000,17778.550781,17301.000000,17687.800781,16814.404297,16081
2018-03-28,17656.599609,18499.949219,17251.000000,18017.550781,17127.873047,174111
