Date,Open,High,Low,Close,Adj Close,Volume
2017-11-02,2663.899658,2663.947998,2627.992676,2635.999023,2439.972168,75875
2017-11-03,2636.775391,2646.431396,2593.590088,2605.090088,2411.362061,165681
2017-11-06,2600.820068,2723.097412,2584.759033,2675.884766,2476.892090,777452
2017-11-07,2694.954102,2707.521484,2605.672363,2627.167969,2431.798096,179289
2017-11-08,2640.657227,2640.657227,2548.512451,2564.136719,2373.454102,91507
2017-11-09,2575.588135,2598.393799,2534.829102,2562.050293,2371.522949,111936
2017-11-10,2562.001709,2600.820068,2544.630615,2561.031250,2370.579590,148301
2017-11-13,2571.706299,2589.174561,2532.888184,2548.997803,2359.440918,77885
2017-11-14,2547.445068,2585.001465,2533.179199,2550.404785,2360.743408,97317
2017-11-15,2560.594727,2565.883545,2475.776855,2490.576172,2305.364014,92699
2017-11-16,2487.276855,2521.242676,2487.276855,2499.747070,2313.853027,88215
2017-11-17,2542.592773,2547.445068,2510.664795,2521.388184,2333.884521,71876
2017-11-20,2525.124512,2544.436523,2499.116211,2533.373291,2344.978760,107801
2017-11-21,2535.799561,2570.735840,2532.985107,2544.485107,2355.263916,93130
2017-11-22,2547.445068,2547.445068,2510.761719,2526.337646,2338.466064,83857
2017-11-23,2540.651855,2540.651855,2502.464355,2514.546631,2327.551758,67774
2017-11-24,2534.829102,2589.174561,2507.025391,2583.303223,2391.195313,135761
2017-11-27,2582.381348,2595.967773,2560.740234,2579.906738,2388.051758,62060
2017-11-28,2600.820068,2684.667236,2573.113525,2677.874268,2478.733643,307254
2017-11-29,2697.865479,2736.586670,2681.610352,2728.726074,2525.803955,365736
2017-11-30,2720.671143,2726.008789,2673.652588,2691.897217,2491.713867,555965
2017-12-01,2695.924561,2751.822754,2627.070801,2651.962891,2454.749268,411610
2017-12-04,2654.195068,2689.762207,2631.729004,2650.313232,2453.222168,177099
2017-12-05,2659.047363,2687.190430,2614.406494,2677.874268,2478.733643,143718
2017-12-06,2666.713867,2677.874268,2631.292236,2652.254150,2455.018799,151175
2017-12-07,2649.342773,2689.131348,2642.646729,2669.867920,2471.322266,172106
2017-12-08,2687.966797,2817.231445,2687.287598,2794.862549,2587.022217,562397
2017-12-11,2815.290527,2860.659424,2777.054688,2809.467773,2600.541016,316248
2017-12-12,2800.733887,2808.497314,2718.778809,2732.850342,2529.621338,194002
2017-12-13,2745.320801,2753.181396,2638.230957,2645.897705,2449.135498,411779
2017-12-14,2625.081299,2686.171631,2615.813477,2677.243408,2478.149658,311302
2017-12-15,2701.747314,2720.525635,2679.038574,2689.179932,2489.198486,147516
2017-12-18,2693.013184,2754.540039,2538.274170,2714.169189,2512.329346,171087
2017-12-19,2741.438965,2795.881592,2727.949707,2786.177002,2578.982178,200483
2017-12-20,2778.267822,2806.119873,2759.829102,2768.611816,2562.723389,109671
2017-12-21,2791.999756,2818.201904,2732.947510,2789.379395,2581.946777,139954
2017-12-22,2792.970215,2856.874512,2785.157959,2815.387695,2606.020996,218734
2017-12-26,2800.733887,2839.357910,2795.929932,2803.305420,2594.837158,68122
2017-12-27,2825.043701,2832.079590,2766.234131,2789.864746,2582.395752,88337
2017-12-28,2793.940674,2798.356201,2746.388184,2761.478760,2556.120605,161676
